opentime,open,high,low,close,volume_USDT,value,signal,position,entry_price,stop_price,stop_loss,stop_profit,unrealized_pnl,realized_pnl,commission
2023-11-28 09:05:00,2009.31,2009.49,2007.19,2007.19,4707708.1278,109873.59279999998,0.0,-40.0,2026.09,0.0,2023.098286938449,1996.7207744649907,755.9999999999945,0.0,0.0
2023-11-28 09:10:00,2007.2,2008.97,2005.9,2008.97,6196689.72717,109873.59279999998,0.0,-40.0,2026.09,0.0,2023.251771915645,1996.8742594421865,684.7999999999956,0.0,0.0
2023-11-28 09:15:00,2008.97,2012.86,2008.96,2011.37,12524277.86469,109873.59279999998,0.0,-40.0,2026.09,0.0,2024.017415824501,1997.6399033510427,588.8000000000011,0.0,0.0
2023-11-28 09:20:00,2011.38,2012.73,2010.66,2012.69,8412888.17091,109873.59279999998,0.0,-40.0,2026.09,0.0,2024.9796327462332,1998.6021202727748,535.9999999999945,0.0,0.0
2023-11-28 09:25:00,2012.68,2014.57,2011.7,2014.56,10281947.8487,109873.59279999998,0.0,-40.0,2026.09,0.0,2026.2394907198384,1999.86197824638,461.1999999999989,0.0,0.0
2023-11-28 09:30:00,2014.56,2015.24,2011.71,2015.22,16968072.03291,109873.59279999998,0.0,-40.0,2026.09,0.0,2027.4094552218896,2001.0319427484312,434.79999999999563,0.0,0.0
2023-11-28 09:35:00,2015.23,2018.97,2015.21,2018.41,30498478.76114,109873.59279999998,0.0,-40.0,2026.09,0.0,2029.1741925917363,2002.796680118278,307.19999999999345,0.0,0.0
2023-11-28 09:40:00,2018.41,2019.48,2018.14,2019.11,15352370.9972,109873.59279999998,0.0,-40.0,2026.09,0.0,2030.74438069364,2004.3668682201817,279.2000000000007,0.0,0.0
2023-11-28 09:45:00,2019.11,2019.86,2017.55,2019.86,10652694.0303,109873.59279999998,0.0,-40.0,2026.09,0.0,2032.1671410047718,2005.7896285313134,249.20000000000073,0.0,0.0
2023-11-28 09:50:00,2019.86,2021.0,2017.26,2018.43,18063031.6167,109873.59279999998,0.0,-40.0,2026.09,0.0,2032.8894898714357,2006.5119773979773,306.3999999999942,0.0,0.0
2023-11-28 09:55:00,2018.44,2019.63,2018.04,2018.47,6568575.12773,109873.59279999998,0.0,-40.0,2026.09,0.0,2033.4433252510073,2007.065812777549,304.79999999999563,0.0,0.0
2023-11-28 10:00:00,2018.47,2019.3,2014.94,2015.0,15542571.2051,109873.59279999998,0.0,-40.0,2026.09,0.0,2032.931643877214,2006.5541314037555,443.5999999999967,0.0,0.0
2023-11-28 10:05:00,2015.01,2017.2,2014.42,2016.19,12424236.10849,109873.59279999998,0.0,-40.0,2026.09,0.0,2032.8130865493927,2006.4355740759343,395.99999999999454,0.0,0.0
2023-11-28 10:10:00,2016.19,2016.66,2015.0,2016.65,8486984.63899,109873.59279999998,0.0,-40.0,2026.09,0.0,2032.816386833466,2006.4388743600075,377.5999999999931,0.0,0.0
2023-11-28 10:15:00,2016.65,2019.99,2016.64,2019.09,15140683.6166,109873.59279999998,0.0,-40.0,2026.09,0.0,2033.443841683746,2007.0663292102877,280.0,0.0,0.0
2023-11-28 10:20:00,2019.08,2019.57,2016.34,2016.45,8463147.28419,109873.59279999998,0.0,-40.0,2026.09,0.0,2033.2190946877643,2006.8415822143058,385.5999999999949,0.0,0.0
2023-11-28 10:25:00,2016.44,2017.52,2014.3,2015.27,13999620.12983,109873.59279999998,0.0,-40.0,2026.09,0.0,2032.7062962740386,2006.3287838005801,432.79999999999745,0.0,0.0
2023-11-28 10:30:00,2015.27,2020.06,2014.95,2017.69,12128285.80386,109873.59279999998,0.0,-40.0,2026.09,0.0,2030.9187723870427,2008.0492776123401,335.99999999999454,0.0,0.0
2023-11-28 10:35:00,2017.69,2019.14,2017.65,2018.27,9839825.87089,109873.59279999998,0.0,-40.0,2026.09,0.0,2030.7211110886217,2008.7401516549694,312.79999999999745,0.0,0.0
2023-11-28 10:40:00,2018.26,2019.26,2016.24,2016.33,8886859.81381,109873.59279999998,0.0,-40.0,2026.09,0.0,2030.4364594910223,2008.45550005737,390.39999999999964,0.0,0.0
2023-11-28 10:45:00,2016.34,2017.43,2013.44,2014.06,13309930.4836,109873.59279999998,0.0,-40.0,2026.09,0.0,2029.5935335980262,2007.6125741643739,481.1999999999989,0.0,0.0
2023-11-28 10:50:00,2014.05,2015.34,2013.97,2014.18,5483609.34786,109873.59279999998,0.0,-40.0,2026.09,0.0,2028.945404669494,2006.9644452358418,476.3999999999942,0.0,0.0
2023-11-28 10:55:00,2014.18,2021.39,2014.18,2020.81,16336893.05843,109873.59279999998,0.0,-40.0,2026.09,0.0,2031.0582867682137,2007.5459444529142,211.1999999999989,0.0,0.0
2023-11-28 11:00:00,2020.81,2022.94,2019.24,2019.42,20601895.96006,109873.59279999998,0.0,-40.0,2026.09,0.0,2031.663967572307,2008.1516252570075,266.7999999999938,0.0,0.0
2023-11-28 11:05:00,2019.43,2020.78,2018.31,2019.54,6557304.11082,109873.59279999998,0.0,-40.0,2026.09,0.0,2032.165113808128,2008.6527714928284,261.9999999999982,0.0,0.0
2023-11-28 11:10:00,2019.53,2020.82,2018.3,2019.56,6499273.75411,109873.59279999998,0.0,-40.0,2026.09,0.0,2032.5551500297931,2009.0428077144936,261.1999999999989,0.0,0.0
2023-11-28 11:15:00,2019.56,2022.93,2018.67,2022.52,17269646.55233,109873.59279999998,0.0,-40.0,2026.09,0.0,2033.6360026446976,2010.123660329398,142.79999999999745,0.0,0.0
2023-11-28 11:20:00,2022.52,2024.87,2022.05,2024.66,15562697.80805,109873.59279999998,0.0,-40.0,2026.09,0.0,2035.0451927604533,2011.5328504451538,57.19999999999345,0.0,0.0
2023-11-28 11:25:00,2024.66,2025.65,2022.2,2023.4,12085087.00198,109873.59279999998,0.0,-40.0,2026.09,0.0,2035.8084840989623,2012.2961417836627,107.59999999999309,0.0,0.0
2023-11-28 11:30:00,2023.39,2027.25,2023.39,2025.96,25099333.17949,109873.59279999998,0.0,-40.0,2026.09,0.0,2037.0694152880951,2013.5570729727956,5.199999999995271,0.0,0.0
2023-11-28 11:35:00,2025.95,2026.6,2023.04,2025.6,10664910.33159,109873.59279999998,0.0,-40.0,2026.09,0.0,2037.9477771595414,2014.4354348442419,19.600000000000364,0.0,0.0
2023-11-28 11:40:00,2025.6,2026.38,2024.52,2025.29,8046271.62896,109873.59279999998,0.0,-40.0,2026.09,0.0,2038.1147380955792,2015.334459656239,31.99999999999818,0.0,0.0
2023-11-28 11:45:00,2025.28,2026.33,2023.81,2026.04,7196003.76321,109873.59279999998,0.0,-40.0,2026.09,0.0,2038.747651509888,2015.9673730705479,1.999999999998181,0.0,0.0
2023-11-28 11:50:00,2026.04,2028.51,2025.66,2027.7,15805029.21549,109873.59279999998,0.0,-40.0,2026.09,0.0,2039.6593766807157,2016.8790982413755,-64.4000000000051,0.0,0.0
2023-11-28 11:55:00,2027.69,2029.0,2027.34,2027.98,17941425.3018,109873.59279999998,0.0,-40.0,2026.09,0.0,2040.4250916079486,2017.6448131686084,-75.600000000004,0.0,0.0
2023-11-28 12:00:00,2027.99,2029.09,2025.55,2025.55,22390526.39717,109873.59279999998,0.0,-40.0,2026.09,0.0,2040.3546415617807,2017.5743631224404,21.599999999998545,0.0,0.0
2023-11-28 12:05:00,2025.56,2026.55,2023.23,2024.45,15480314.68741,109873.59279999998,0.0,-40.0,2026.09,0.0,2039.9745692911993,2017.194290851859,65.5999999999949,0.0,0.0
2023-11-28 12:10:00,2024.44,2024.53,2022.58,2022.83,9771997.95534,109873.59279999998,0.0,-40.0,2026.09,0.0,2039.214367881673,2016.4340894423328,130.39999999999964,0.0,0.0
2023-11-28 12:15:00,2022.83,2024.4,2022.22,2023.92,8366113.60786,109873.59279999998,0.0,-40.0,2026.09,0.0,2038.8763206029123,2016.096042163572,86.79999999999382,0.0,0.0
2023-11-28 12:20:00,2023.92,2025.0,2021.89,2021.96,9244120.16654,109873.59279999998,0.0,-40.0,2026.09,0.0,2038.0683875279537,2015.2881090886135,165.19999999999527,0.0,0.0
2023-11-28 12:25:00,2021.97,2025.04,2021.57,2024.57,7544781.23132,109873.59279999998,0.0,-40.0,2026.09,0.0,2038.104169645074,2015.3238912057338,60.79999999999927,0.0,0.0
2023-11-28 12:30:00,2024.56,2027.13,2022.96,2027.12,13864691.94035,109873.59279999998,0.0,-40.0,2026.09,0.0,2038.7964408396983,2016.016162400358,-41.19999999999891,0.0,0.0
2023-11-28 12:35:00,2027.12,2027.27,2023.28,2023.28,14088169.65158,109873.59279999998,0.0,-40.0,2026.09,0.0,2037.9509428198503,2015.8053796342476,112.39999999999782,0.0,0.0
2023-11-28 12:40:00,2023.29,2026.14,2023.21,2025.87,6806877.4736,109873.59279999998,0.0,-40.0,2026.09,0.0,2038.2422231362932,2016.0966599506905,8.800000000001091,0.0,0.0
2023-11-28 12:45:00,2025.87,2025.99,2023.0,2023.37,4665302.43183,109873.59279999998,0.0,-40.0,2026.09,0.0,2037.7987226422179,2015.6531594566152,108.80000000000109,0.0,0.0
2023-11-28 12:50:00,2023.36,2023.86,2021.72,2022.73,5585427.72459,109873.59279999998,0.0,-40.0,2026.09,0.0,2036.870778850846,2015.418398268204,134.399999999996,0.0,0.0
2023-11-28 12:55:00,2022.74,2023.0,2021.18,2022.95,6121324.26114,109873.59279999998,0.0,-40.0,2026.09,0.0,2036.499993223369,2015.0476126407273,125.5999999999949,0.0,0.0
2023-11-28 13:00:00,2022.95,2023.0,2020.27,2020.81,13632786.00357,109873.59279999998,0.0,-40.0,2026.09,0.0,2035.633467251482,2014.1810866688402,211.1999999999989,0.0,0.0
2023-11-28 13:05:00,2020.81,2020.96,2019.18,2020.8,26352704.93768,109873.59279999998,0.0,-40.0,2026.09,0.0,2034.9418366586385,2013.4894560759967,211.59999999999854,0.0,0.0
2023-11-28 13:10:00,2020.79,2023.01,2020.79,2022.49,7371171.88821,109873.59279999998,0.0,-40.0,2026.09,0.0,2034.8436318665788,2013.391251283937,143.99999999999636,0.0,0.0
2023-11-28 13:15:00,2022.5,2024.47,2022.1,2023.35,8861678.40563,109873.59279999998,0.0,-40.0,2026.09,0.0,2034.9977032708512,2013.5453226882094,109.60000000000036,0.0,0.0
2023-11-28 13:20:00,2023.35,2027.34,2023.35,2027.12,14626604.28801,109873.59279999998,0.0,-40.0,2026.09,0.0,2036.1235679743827,2014.671187391741,-41.19999999999891,0.0,0.0
2023-11-28 13:25:00,2027.12,2029.07,2026.46,2028.94,15510337.60186,109873.59279999998,0.0,-40.0,2026.09,0.0,2037.500018271175,2016.047637688533,-114.00000000000546,0.0,0.0
2023-11-28 13:30:00,2028.94,2035.7,2028.93,2032.66,49898675.90497,109873.59279999998,0.0,-40.0,2026.09,0.0,2039.8750684645324,2017.8953034579238,-262.80000000000655,0.0,0.0
2023-11-28 13:35:00,2032.66,2034.33,2029.38,2031.59,23901333.75632,109873.59279999998,0.0,-40.0,2026.09,0.0,2041.2237940401865,2019.2440290335778,-220.0,0.0,0.0
2023-11-28 13:40:00,2031.59,2031.6,2028.93,2031.19,9793787.43989,109873.59279999998,0.0,-40.0,2026.09,0.0,2042.1682877626652,2020.1885227560565,-204.00000000000546,0.0,0.0
