opentime,value,unrealized_pnl,realized_pnl,commission
2024-05-18 08:19:00,2946.534555354073,-5.275200000001118,0.0,0.0
2024-05-18 08:20:00,2946.534555354073,-2.907200000001118,0.0,0.0
2024-05-18 08:21:00,2946.534555354073,-1.0512000000011177,0.0,0.0
2024-05-18 08:22:00,2946.534555354073,-0.7312000000011176,0.0,0.0
2024-05-18 08:23:00,2946.534555354073,-3.0480000000009313,0.0,0.0
2024-05-18 08:24:00,2946.534555354073,-3.4960000000009313,0.0,0.0
2024-05-18 08:25:00,2946.534555354073,-2.580800000000745,0.0,0.0
2024-05-18 08:26:00,2946.534555354073,-2.2032000000011176,0.0,0.0
2024-05-18 08:27:00,2946.534555354073,-1.8320000000009313,0.0,0.0
2024-05-18 08:28:00,2946.534555354073,-0.15520000000111758,0.0,0.0
2024-05-18 08:29:00,2946.534555354073,-0.4432000000011176,0.0,0.0
2024-05-18 08:30:00,2946.534555354073,1.9503999999994412,0.0,0.0
2024-05-18 08:31:00,2946.534555354073,3.467199999999255,0.0,0.0
2024-05-18 08:32:00,2946.534555354073,4.772799999998883,0.0,0.0
2024-05-18 08:33:00,2946.534555354073,2.8143999999994413,0.0,0.0
2024-05-18 08:34:00,2946.534555354073,1.9055999999996276,0.0,0.0
2024-05-18 08:35:00,2946.534555354073,3.127999999999069,0.0,0.0
2024-05-18 08:36:00,2946.534555354073,3.9663999999994415,0.0,0.0
2024-05-18 08:37:00,2946.534555354073,3.339199999999255,0.0,0.0
2024-05-18 08:38:00,2946.534555354073,2.6287999999988823,0.0,0.0
2024-05-18 08:39:00,2946.534555354073,2.6095999999996273,0.0,0.0
2024-05-18 08:40:00,2946.534555354073,3.3519999999990686,0.0,0.0
2024-05-18 08:41:00,2946.534555354073,1.8287999999988824,0.0,0.0
2024-05-18 08:42:00,2946.534555354073,1.3615999999996276,0.0,0.0
2024-05-18 08:43:00,2946.534555354073,1.5023999999994413,0.0,0.0
2024-05-18 08:44:00,2946.534555354073,2.2575999999996275,0.0,0.0
2024-05-18 08:45:00,2946.534555354073,2.4303999999994415,0.0,0.0
2024-05-18 08:46:00,2946.534555354073,2.7567999999988824,0.0,0.0
2024-05-18 08:47:00,2946.534555354073,1.3679999999990686,0.0,0.0
2024-05-18 08:48:00,2946.534555354073,2.3919999999990686,0.0,0.0
2024-05-18 08:49:00,2946.534555354073,2.731199999999255,0.0,0.0
2024-05-18 08:50:00,2946.534555354073,3.3263999999994414,0.0,0.0
2024-05-18 08:51:00,2946.534555354073,1.5407999999988824,0.0,0.0
