opentime,open,high,low,close,volume,closetime,volume_U,num_trade,taker_buy,taker_buy_volume_U,ignore
2024-05-29 15:45:00,67491.4,67494.4,67430.4,67430.4,163.473,2024-05-29 15:45:59,11027193.4203,3595,72.8,4910868.561,0.0
2024-05-29 15:46:00,67430.5,67538.9,67321.7,67488.2,1034.522,2024-05-29 15:46:59,69735715.4212,10599,440.909,29736076.5203,0.0
2024-05-29 15:47:00,67488.2,67558.1,67488.1,67525.1,326.837,2024-05-29 15:47:59,22070227.2757,3462,255.681,17265258.5984,0.0
2024-05-29 15:48:00,67525.1,67576.8,67513.6,67535.9,138.093,2024-05-29 15:48:59,9327977.2544,2142,75.847,5123370.4109,0.0
2024-05-29 15:49:00,67535.9,67537.0,67450.3,67471.4,163.38,2024-05-29 15:49:59,11027256.3258,2701,54.526,3680067.472,0.0
2024-05-29 15:50:00,67471.5,67547.0,67462.6,67535.0,256.535,2024-05-29 15:50:59,17322884.713,2892,192.859,13022867.715,0.0
2024-05-29 15:51:00,67535.1,67632.4,67519.8,67581.1,412.987,2024-05-29 15:51:59,27913594.2396,4944,253.005,17100999.3751,0.0
2024-05-29 15:52:00,67581.2,67581.2,67426.0,67426.0,294.06,2024-05-29 15:52:59,19845173.0641,3733,33.691,2273987.4053,0.0
2024-05-29 15:53:00,67426.0,67457.9,67395.2,67457.9,171.04,2024-05-29 15:53:59,11531011.7316,2776,67.332,4539640.379,0.0
2024-05-29 15:54:00,67457.8,67457.8,67424.0,67426.6,89.69,2024-05-29 15:54:59,6048968.5228,1487,30.332,2045686.1039,0.0
2024-05-29 15:55:00,67426.6,67429.1,67400.0,67403.2,104.486,2024-05-29 15:55:59,7043401.2804,1442,31.614,2131132.9663,0.0
2024-05-29 15:56:00,67403.3,67430.2,67400.0,67429.7,116.954,2024-05-29 15:56:59,7884207.425,1688,76.606,5164297.756,0.0
2024-05-29 15:57:00,67429.7,67450.0,67400.0,67400.0,92.021,2024-05-29 15:57:59,6203590.3095,1622,35.708,2407537.1914,0.0
2024-05-29 15:58:00,67400.1,67414.3,67391.5,67396.6,122.506,2024-05-29 15:58:59,8256954.1196,1761,43.648,2941951.1685,0.0
2024-05-29 15:59:00,67396.6,67454.8,67394.6,67421.0,96.552,2024-05-29 15:59:59,6510998.5318,2035,60.445,4076222.5601,0.0
2024-05-29 16:00:00,67421.0,67440.2,67389.9,67389.9,154.484,2024-05-29 16:00:59,10413794.1124,2298,62.741,4229499.4223,0.0
2024-05-29 16:01:00,67390.0,67395.1,67359.6,67371.1,245.293,2024-05-29 16:01:59,16525913.8705,3252,110.269,7429173.6465,0.0
2024-05-29 16:02:00,67371.1,67379.3,67331.3,67345.8,343.698,2024-05-29 16:02:59,23149882.8421,4145,126.003,8487181.9205,0.0
2024-05-29 16:03:00,67345.8,67362.8,67129.0,67199.8,2375.773,2024-05-29 16:03:59,159718277.5916,25147,766.949,51567365.8091,0.0
2024-05-29 16:04:00,67199.8,67326.6,67180.0,67300.4,794.38,2024-05-29 16:04:59,53428750.9396,8688,581.793,39133340.2652,0.0
2024-05-29 16:05:00,67300.4,67342.7,67265.0,67290.9,266.149,2024-05-29 16:05:59,17913679.4233,4728,161.851,10894503.0019,0.0
2024-05-29 16:06:00,67291.0,67291.0,67212.8,67239.2,204.089,2024-05-29 16:06:59,13721675.7636,3683,86.561,5819500.7034,0.0
